source_id,transit_id,band,time,mag,flux,flux_error,flux_over_error,rejected_by_photometry,rejected_by_variability,other_flags,solution_id
4537291313647857408,18131636603728806,G,1724.7461242450456,12.514738256586547,185802.45336459784,128.24940941346532,1448.7588,false,false,257,375316653866487564
4537291313647857408,18135728897429956,G,1724.8201266141189,12.92442232966218,127402.46033236616,67.46753305842533,1888.3522,false,false,1,375316653866487564
4537291313647857408,18374828748444020,G,1729.1438494743247,13.070035414322883,111412.15664190117,156.49112631724682,711.93915,false,true,5119,375316653866487564
4537291313647857408,18378921042830930,G,1729.2178517851296,13.12402997554958,106007.05185947362,2568.9254160638866,41.265133,false,true,5119,375316653866487564
4537291313647857408,20161228209452035,G,1761.4479061717482,13.337877165334618,87055.4331437327,68.70150333120338,1267.1547,false,false,1,375316653866487564
4537291313647857408,22478606806296119,G,1803.354590303482,12.709000514763725,155362.6215909861,101.70812605216723,1527.534,false,false,1,375316653866487564
4537291313647857408,22482699117052491,G,1803.4285675222725,13.070079331313272,111407.65021793204,75.17240643924934,1482.0286,false,false,4194305,375316653866487564
4537291313647857408,22492439885932092,G,1803.604747662827,13.333104957524947,87438.91577532241,83.49873649677944,1047.1885,false,false,1,375316653866487564
4537291313647857408,23446708774786253,G,1820.8619066096733,12.742104083430553,150697.17584391136,131.756482231812,1143.7552,false,false,2101509,375316653866487564
4537291313647857408,23450801046475391,G,1820.9359126639204,13.072933380562041,111115.18011871717,93.66358934089533,1186.322,false,false,8193,375316653866487564
4537291313647857408,23460541895151763,G,1821.1120695442348,13.232791092399593,95902.58419875208,77.34811804729141,1239.8826,false,false,1,375316653866487564
4537291313647857408,23464634234087002,G,1821.1860768410681,12.5338210315861,182565.3416396099,132.44571799081854,1378.4164,false,false,4097,375316653866487564
4537291313647857408,26228685243987574,G,1871.1735464859048,12.370497826769832,212201.09279978264,336.1247274377786,631.3165,false,false,69641,375316653866487564
4537291313647857408,26238426039869467,G,1871.3495570898021,13.171089707304988,101510.47591562087,143.81095195924428,705.86053,false,false,8127457,375316653866487564
4537291313647857408,27721485246198979,G,1898.1715304791649,13.199122368630487,98923.11862680412,64.84846293867668,1525.4504,false,false,1,375316653866487564
4537291313647857408,29365875443557573,G,1927.9113872129626,13.177596126658019,100903.97988761279,157.3523368805259,641.2614,false,false,1052801,375316653866487564
4537291313647857408,31543738405511822,G,1967.2991238311738,12.752121401190156,149313.1942300912,127.64746746410725,1169.731,false,false,1,375316653866487564
4537291313647857408,31547830722417524,G,1967.3731414879062,13.069571697022432,111459.75087209929,99.83265752524473,1116.4658,false,false,131089,375316653866487564
4537291313647857408,32345759008433108,G,1981.8037862165504,13.458167978675002,77925.49242695003,434.1866738303643,179.47462,false,true,5119,375316653866487564
4537291313647857408,32349851326015405,G,1981.8778071782344,12.197053952647433,248957.4722334086,4351.280741791888,57.214756,false,true,1023,375316653866487564
4537291313647857408,34917479096316105,G,2028.3123063489966,12.433872740718053,200169.38301111996,266.0012026310216,752.51306,false,false,4097,375316653866487564
4537291313647857408,34931312173814936,G,2028.562465810661,13.250345270799846,94364.49900255496,36.610892420949625,2577.4978,false,false,1,375316653866487564
4537291313647857408,35563380644122662,G,2039.9927919499282,13.291062425861359,90891.1872757455,629.3695581019737,144.41624,false,false,4198913,375316653866487564
