source_id,transit_id,band,time,mag,flux,flux_error,flux_over_error,rejected_by_photometry,rejected_by_variability,other_flags,solution_id
1326173514597193728,17943009393046993,G,1721.3323984275548,13.847884924682193,54424.290607932,62.80507686667232,866.5588,false,false,1,375316653866487564
1326173514597193728,18775654999398264,G,1736.3896840861212,13.464520306004967,77470.90412243754,117.59381636412199,658.80084,false,false,4097,375316653866487564
1326173514597193728,18779747316319279,G,1736.4636604242783,13.289996745343549,90980.4433201967,38.56678897714877,2359.036,false,false,4194305,375316653866487564
1326173514597193728,20158205139252622,G,1761.3916142606056,13.979721623127652,48201.22743121871,50.66903018933419,951.29565,false,false,1,375316653866487564
1326173514597193728,20162297388916980,G,1761.4656189904458,14.024530827309674,46252.415234383625,46.29181199189546,999.1489,false,false,1,375316653866487564
1326173514597193728,20172038214915163,G,1761.641773246046,13.495221265772358,75310.96986014892,67.456215771614,1116.4423,false,false,1,375316653866487564
1326173514597193728,22756274541041119,G,1808.3764865272626,13.637169537984025,66081.35378345325,57.79071015053254,1143.4598,false,false,1,375316653866487564
1326173514597193728,22760366860453001,G,1808.4504678033175,13.805140412369123,56609.66461083152,50.8882661536682,1112.4307,false,false,4194305,375316653866487564
1326173514597193728,22770107614917548,G,1808.6266569647255,14.06482081771749,44567.51504202749,67.03844718966752,664.8053,false,false,4097,375316653866487564
1326173514597193728,24142822684947868,G,1833.4524003734807,13.4317174785282,79847.21177856767,79.9903159388903,998.211,false,false,1,375316653866487564
1326173514597193728,25966705922061883,G,1866.4381446676782,14.026334255042446,46175.65289455566,49.61084971204994,930.75714,false,false,1,375316653866487564
1326173514597193728,27910128076738974,G,1901.5859066129904,13.442638930264899,79048.052498481,110.56463634095645,714.9488,false,false,4097,375316653866487564
1326173514597193728,27914220374771547,G,1901.6598893506748,13.614562229223074,67471.73145486737,120.71141733834293,558.9507,false,false,4198401,375316653866487564
1326173514597193728,28988399283360919,G,1921.086761568726,13.927638369321542,50569.818987124665,51.0839072354811,989.9364,false,false,1,375316653866487564
1326173514597193728,31376737787721541,G,1964.279464882971,13.64287820915729,65734.81774564524,46.099811685487,1425.9238,false,false,1048705,375316653866487564
1326173514597193728,31380830057440842,G,1964.3534855133908,13.817204755664015,55984.118520364755,79.253657372927,706.3916,false,false,4097,375316653866487564
1326173514597193728,32095826492265538,G,1977.2837409783986,13.899047238017474,51919.18321816655,77.96390753047964,665.9387,false,false,4097,375316653866487564
1326173514597193728,32099918768422948,G,1977.3576623770282,13.928145810399302,50546.189667566396,28.061822942325453,1801.244,false,false,7348609,375316653866487564
1326173514597193728,34470679862194439,G,2020.2304343782714,13.858383128118943,53900.58708850314,72.65912515731458,741.8282,false,false,4097,375316653866487564
1326173514597193728,34474772150920669,G,2020.3044379687478,13.950046799268732,49536.808977285335,82.84667245673374,597.9336,false,false,4097,375316653866487564
1326173514597193728,35774038056933121,G,2043.799831843639,14.130159500825691,41964.58634178056,39.50592349123733,1062.2354,false,false,16387,375316653866487564
1326173514597193728,37662736387953274,G,2077.954057696049,13.95999796007451,49084.86069578846,34.172864062931,1436.3695,false,false,1,375316653866487564
1326173514597193728,37666828672222720,G,2078.0280325453373,14.06520840850425,44551.60797800564,55.090915679889136,808.69244,false,false,4194305,375316653866487564
1326173514597193728,39818349230953610,G,2116.9355618462487,13.173561353127274,101279.65319976519,129.89728804489027,779.6903,false,false,69641,375316653866487564
1326173514597193728,39822441544860742,G,2117.0095209072188,13.297364626930875,90365.13381619261,94.07300722861021,960.58514,false,false,4456481,375316653866487564
1326173514597193728,39832182309287453,G,2117.185704653012,13.858460035718688,53896.769201666975,76.85026255278838,701.32184,false,false,4097,375316653866487564
1326173514597193728,41090461175142312,G,2139.940573114488,13.8701541389261,53319.380058337534,117.22359667919751,454.85193,false,false,6296325,375316653866487564
1326173514597193728,41094553454297414,G,2140.014588711114,13.92204919794376,50830.81436684339,68.787957793683,738.94934,false,false,4198401,375316653866487564
1326173514597193728,43633206635675888,G,2185.9255165334844,13.905063500169888,51632.285174550845,96.7762236296784,533.5224,false,false,4198401,375316653866487564
1326173514597193728,45125984401909435,G,2212.922889334704,13.835049348314946,55071.51291358096,44.79595815722334,1229.3857,false,false,1,375316653866487564
1326173514597193728,45130076683026934,G,2212.996871955406,13.93506255378654,50225.205839650545,71.1335981869058,706.06866,false,false,4198401,375316653866487564
1326173514597193728,46784132859459267,G,2242.911357312672,13.63747559638839,66062.72872213878,85.14057707785113,775.9253,false,false,4097,375316653866487564
1326173514597193728,48828029677888796,G,2279.8761125832602,13.93451076688837,50250.73750548377,72.99560003942902,688.4078,false,false,4097,375316653866487564
1326173514597193728,48832121973555548,G,2279.9500826539124,14.04321839639757,45463.135859491784,72.33182057040202,628.53577,false,false,4722753,375316653866487564
1326173514597193728,49782004976079360,G,2297.1288934594772,13.984318730963476,47997.570417311734,35.187976432308766,1364.0333,false,false,1,375316653866487564
1326173514597193728,52197856999928363,G,2340.8187457428726,14.063077898048082,44639.11620913373,35.012145234068505,1274.9609,false,false,1,375316653866487564
1326173514597193728,52201949324436036,G,2340.8927524955916,13.95394358051409,49359.33666393619,65.73384455776446,750.89685,false,false,4097,375316653866487564
1326173514597193728,52990145641756362,G,2355.1466254578427,13.408178208176787,81597.23895127863,58.37236674760529,1397.8744,false,false,1,375316653866487564
1326173514597193728,52999886480503832,G,2355.322779281064,13.850345478034491,54301.091028423405,51.48009380395162,1054.7979,false,false,1,375316653866487564
1326173514597193728,55292088825299692,G,2396.7744066471387,13.41614200107053,81000.9190331124,124.75090438330483,649.3013,false,false,6295809,375316653866487564
1326173514597193728,55296181112709231,G,2396.8484660564613,13.394170428707824,82656.79761600232,179.3393759790966,460.896,false,false,266273,375316653866487564
1326173514597193728,56757065020625396,G,2423.266364423358,13.351936989180828,85935.3699919041,66.0602362347851,1300.8638,false,false,1,375316653866487564
1326173514597193728,60865226218054704,G,,,,,,true,true,8373247,375316653866487564
1326173514597193728,60874967079338684,G,2497.7333803781717,13.903980584197658,51683.80903404884,71.89198348466311,718.9092,false,false,4198401,375316653866487564
1326173514597193728,60879059339113655,G,2497.807413818628,14.050187551374108,45172.25033809793,62.78965377717532,719.4219,false,false,4097,375316653866487564
1326173514597193728,62068282426708152,G,2519.3137555111016,13.971748410012193,48556.500893650686,27.024961077723912,1796.7279,false,false,4129273,375316653866487564
